Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18
,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
,,,,,,,,Brutto,R1410,404 092,234 638,996 624,580 635,0,0,0,5,2 215 995
,,,,,,,,Udział zakładu reasekuracji,R1420,22 119,17,3 927,26 446,0,0,0,0,52 510
,,,,,,,,Netto,R1500,381 973,234 621,992 698,554 188,0,0,0,5,2 163 485
,,,,,,,,Składki zarobione 0,,,,,,,,,,
,,,,,,,,Brutto,R1510,404 180,234 853,997 003,581 019,0,0,0,5,2 217 061
,,,,,,,,Udział zakładu reasekuracji,R1520,22 119,17,3 927,26 420,0,0,0,0,52 483
,,,,,,,,Netto,R1600,382 061,234 835,993 076,554 600,0,0,0,5,2 164 578
,,,,,,,,Odszkodowania i świadczenia,,,,,,,,,,
,,,,,,,,Brutto,R1610,158 004,311 581,1 258 331,242 605,0,0,0,0,1 970 521
,,,,,,,,Udział zakładu reasekuracji,R1620,15 528,0,315,10 656,0,0,0,0,26 499
,,,,,,,,Netto,R1700,142 476,311 581,1 258 016,231 949,0,0,0,0,1 944 022
,,,,,,,,Zmiana stanu pozostałych rezerw techniczno-ubezpieczeniowych 0,,,,,,,,,,
,,,,,,,,Brutto,R1710,-346,266 908,1 952 512,-21 620,0,0,0,0,2 197 454
,,,,,,,,Udział zakładu reasekuracji,R1720,-45,0,-14,-17,0,0,0,0,-76
,,,,,,,,Netto,R1800,-301,266 908,1 952 527,-21 603,0,0,0,0,2 197 530
,,,,,,,,Koszty poniesione,R1900,105 191,39 232,190 847,201 674,0,0,0,2,536 946
,,,,,,,,Pozostałe koszty,R2500,,,,,,,,,5 975
,,,,,,,,Koszty ogółem,R2600,,,,,,,,,542 921
,,,,,,,,,,"Ubezpieczenia
zdrowotne","Ubezpieczenia z
udziałem w
zyskach","Ubezpieczenia, w
których
świadczenie jest
ustalane w oparciu
o określone
indeksy lub inne
wartości bazowe i
ubezpieczenia
związane z
ubezpieczeniowym
funduszem
kapitałowym","Pozostałe
ubezpieczenia na
życie","Renty z umów
ubezpieczenia
innych niż umowy
ubezpieczenia na
życie oraz
powiązane ze
zobowiązaniami z
tytułu ubezpieczeń
zdrowotnych","Renty z umów
ubezpieczenia
innych niż umowy
ubezpieczenia na
życie oraz
powiązane ze
zobowiązaniami
ubezpieczeniowym
i innymi niż
zobowiązania z
tytułu ubezpieczeń
zdrowotnych","Reasekuracja
ubezpieczeń
zdrowotnych","Reasekuracja
ubezpieczeń na
życie",
,,,,,,,,,,C0210,C0220,C0230,C0240,C0250,C0260,C0270,C0280,C0300
,,,,,,,,Brutto,R1410,98 272,15 377,141 948,326 524,0,0,0,0,582 121
,,,,,,,,Udział zakładu reasekuracji,R1420,10 393,23,687,15 143,0,0,0,0,26 246
,,,,,,,,Netto,R1500,87 879,15 354,141 261,311 380,0,0,0,0,555 875
,,,,,,,,Składki zarobione,,,,,,,,,,
,,,,,,,,Brutto,R1510,98 301,15 537,142 200,326 862,0,0,0,0,582 900
,,,,,,,,Udział zakładu reasekuracji,R1520,10 393,23,687,15 158,0,0,0,0,26 260
,,,,,,,,Netto,R1600,87 908,15 514,141 513,311 704,0,0,0,0,556 640
,,,,,,,,Odszkodowania i świadczenia,,,,,,,,,,
,,,,,,,,Brutto,R1610,59 721,21 458,293 978,160 665,0,0,0,0,535 822
,,,,,,,,Udział zakładu reasekuracji,R1620,7 522,0,0,4 785,0,0,0,0,12 307
,,,,,,,,Netto,R1700,52 199,21 458,293 978,155 880,0,0,0,0,523 515
,,,,,,,,Zmiana stanu pozostałych rezerw techniczno-ubezpieczeniowych,,,,,,,,,,
,,,,,,,,Brutto,R1710,0,3 322,52 708,-5 351,0,0,0,0,50 679
,,,,,,,,Udział zakładu reasekuracji,R1720,0,0,0,0,0,0,0,0,0
,,,,,,,,Netto,R1800,0,3 322,52 708,-5 350,0,0,0,0,50 680
,,,,,,,,Koszty poniesione,R1900,19 766,661,44 654,102 894,0,0,0,0,167 975
,,,,,,,,Pozostałe koszty,R2500,,,,,,,,,3 379
,,,,,,,,Koszty ogółem,R2600,,,,,,,,,171 354
,,,,,,,,,,"Ubezpieczenia
zdrowotne","Ubezpieczenia z
udziałem w
zyskach","Ubezpieczenia, w
których
świadczenie jest
ustalane w oparciu
o określone
indeksy lub inne
wartości bazowe i
ubezpieczenia
związane z
ubezpieczeniowym
funduszem
kapitałowym","Pozostałe
ubezpieczenia na
życie","Renty z umów
ubezpieczenia
innych niż umowy
ubezpieczenia na
życie oraz
powiązane ze
zobowiązaniami z
tytułu ubezpieczeń
zdrowotnych","Renty z umów
ubezpieczenia
innych niż umowy
ubezpieczenia na
życie oraz
powiązane ze
zobowiązaniami
ubezpieczeniowym
i innymi niż
zobowiązania z
tytułu ubezpieczeń
zdrowotnych","Reasekuracja
ubezpieczeń
zdrowotnych","Reasekuracja
ubezpieczeń na
życie",
,,,,,,,,,,C0210,C0220,C0230,C0240,C0250,C0260,C0270,C0280,C0300
,,,,,,,,Brutto,R1410,281 924,235 331,1 046 642,236 113,0,0,0,2,1 800 012
,,,,,,,,Udział zakładu reasekuracji,R1420,9 945,0,2 785,5 794,0,0,0,0,18 524
,,,,,,,,Netto,R1500,271 978,235 331,1 043 857,230 319,0,0,0,2,1 781 488
,,,,,,,,Składki zarobione,,,,,,,,,,
,,,,,,,,Brutto,R1510,281 924,235 331,1 046 642,236 113,0,0,0,2,1 800 012
,,,,,,,,Udział zakładu reasekuracji,R1520,9 945,0,2 785,5 794,0,0,0,0,18 524
,,,,,,,,Netto,R1600,271 978,235 331,1 043 857,230 319,0,0,0,2,1 781 488
,,,,,,,,Odszkodowania i świadczenia,,,,,,,,,,
,,,,,,,,Brutto,R1610,70 519,238 496,944 044,104 984,0,0,0,0,1 358 044
,,,,,,,,Udział zakładu reasekuracji,R1620,4 720,0,1 412,1 368,0,0,0,0,7 500
,,,,,,,,Netto,R1700,65 799,238 496,942 633,103 616,0,0,0,0,1 350 544
,,,,,,,,Zmiana stanu pozostałych rezerw techniczno-ubezpieczeniowych,,,,,,,,,,
,,,,,,,,Brutto,R1710,-766,122 073,-328 850,-43 075,0,0,0,0,-250 618
,,,,,,,,Udział zakładu reasekuracji,R1720,-37,0,-5,-36,0,0,0,0,-79
,,,,,,,,Netto,R1800,-729,122 073,-328 844,-43 039,0,0,0,0,-250 539
,,,,,,,,Koszty poniesione,R1900,67 435,30 257,134 569,84 797,0,0,0,2,317 060
,,,,,,,,Pozostałe koszty,R2500,,,,,,,,,2 829
,,,,,,,,Koszty ogółem,R2600,,,,,,,,,319 889
,,,,,,,,,,"Ubezpieczenia
zdrowotne","Ubezpieczenia z
udziałem w
zyskach","Ubezpieczenia, w
których
świadczenie jest
ustalane w oparciu
o określone
indeksy lub inne
wartości bazowe i
ubezpieczenia
związane z
ubezpieczeniowym
funduszem
kapitałowym","Pozostałe
ubezpieczenia na
życie","Renty z umów
ubezpieczenia
innych niż umowy
ubezpieczenia na
życie oraz
powiązane ze
zobowiązaniami z
tytułu ubezpieczeń
zdrowotnych","Renty z umów
ubezpieczenia
innych niż umowy
ubezpieczenia na
życie oraz
powiązane ze
zobowiązaniami
ubezpieczeniowym
i innymi niż
zobowiązania z
tytułu ubezpieczeń
zdrowotnych","Reasekuracja
ubezpieczeń
zdrowotnych","Reasekuracja
ubezpieczeń na
życie",
,,,,,,,,,,C0210,C0220,C0230,C0240,C0250,C0260,C0270,C0280,C0300
,,,,,,,,Brutto,R1410,380 195,250 708,1 188 590,562 637,0,0,0,2,2 382 133
,,,,,,,,Udział zakładu reasekuracji,R1420,20 338,23,3 472,20 937,0,0,0,0,44 770
,,,,,,,,Netto,R1500,359 858,250 686,1 185 118,541 699,0,0,0,2,2 337 363
,,,,,,,,Składki zarobione,,,,,,,,,,
,,,,,,,,Brutto,R1510,380 225,250 868,1 188 842,562 975,0,0,0,2,2 382 912
,,,,,,,,Udział zakładu reasekuracji,R1520,20 338,23,3 472,20 952,0,0,0,0,44 784
,,,,,,,,Netto,R1600,359 887,250 845,1 185 370,542 023,0,0,0,2,2 338 128
,,,,,,,,Odszkodowania i świadczenia,,,,,,,,,,
,,,,,,,,Brutto,R1610,130 240,259 954,1 238 022,265 650,0,0,0,0,1 893 866
,,,,,,,,Udział zakładu reasekuracji,R1620,12 242,0,1 412,6 153,0,0,0,0,19 807
,,,,,,,,Netto,R1700,117 998,259 954,1 236 611,259 496,0,0,0,0,1 874 059
,,,,,,,,Zmiana stanu pozostałych rezerw techniczno-ubezpieczeniowych,,,,,,,,,,
,,,,,,,,Brutto,R1710,-766,125 394,-276 141,-48 426,0,0,0,0,-199 939
,,,,,,,,Udział zakładu reasekuracji,R1720,-37,0,-5,-37,0,0,0,0,-79
,,,,,,,,Netto,R1800,-729,125 394,-276 136,-48 389,0,0,0,0,-199 860
,,,,,,,,Koszty poniesione,R1900,87 202,30 918,179 223,187 691,0,0,0,2,485 035
,,,,,,,,Pozostałe koszty,R2500,,,,,,,,,6 208
,,,,,,,,Koszty ogółem,R2600,,,,,,,,,491 243
,,,,,,,,,,"Ubezpieczenia
zdrowotne","Ubezpieczenia z
udziałem w
zyskach","Ubezpieczenia, w
których
świadczenie jest
ustalane w oparciu
o określone
indeksy lub inne
wartości bazowe i
ubezpieczenia
związane z
ubezpieczeniowym
funduszem
kapitałowym","Pozostałe
ubezpieczenia na
życie","Renty z umów
ubezpieczenia
innych niż umowy
ubezpieczenia na
życie oraz
powiązane ze
zobowiązaniami z
tytułu ubezpieczeń
zdrowotnych","Renty z umów
ubezpieczenia
innych niż umowy
ubezpieczenia na
życie oraz
powiązane ze
zobowiązaniami
ubezpieczeniowym
i innymi niż
zobowiązania z
tytułu ubezpieczeń
zdrowotnych","Reasekuracja
ubezpieczeń
zdrowotnych","Reasekuracja
ubezpieczeń na
życie",
,,,,,,,,,,C0210,C0220,C0230,C0240,C0250,C0260,C0270,C0280,C0300
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Brutto – reasekuracja czynna proporcjonalna,R0120,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Brutto – reasekuracja czynna nieproporcjonalna,R0130,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Udział zakładu reasekuracji,R0140,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Netto,R0200,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Składki zarobione / Premiums earned,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Brutto – reasekuracja czynna proporcjonalna,R0220,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Brutto – reasekuracja czynna nieproporcjonalna,R0230,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Udział zakładu reasekuracji,R0240,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Netto,R0300,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Odszkodowania i świadczenia / Claims incurred,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Brutto – reasekuracja czynna proporcjonalna,R0320,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Brutto – reasekuracja czynna nieproporcjonalna,R0330,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Udział zakładu reasekuracji,R0340,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Netto,R0400,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Zmiana stanu pozostałych rezerw techniczno-ubezpieczeniowych /
Changes in other technical provisions",,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Brutto – reasekuracja czynna proporcjonalna,R0420,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Brutto – reasekuracja czynna nieproporcjonalna,R0430,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Udział zakładu reasekuracji,R0440,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Netto,R0500,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Koszty poniesione,R0550,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Pozostałe koszty,R1200,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Koszty ogółem,R1300,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,"Ubezpieczenia
pokrycia kosztów
świadczeń
medycznych","Ubezpieczenia na
wypadek utraty
dochodów","Ubezpieczenia
pracownicze","Ubezpieczenia
odpowiedzialności
cywilnej z tytułu
użytkowania
pojazdów
mechanicznych","Pozostałe
ubezpieczenia
pojazdów","Ubezpieczenia
morskie, lotnicze i
transportowe","Ubezpieczenia od
ognia i innych
szkód rzeczowych","Ubezpieczenia
odpowiedzialności
cywilnej ogólnej","Ubezpieczenia
kredytów i
poręczeń","Ubezpieczenia
kosztów ochrony
prawnej","Ubezpieczenia
świadczenia
pomocy","Ubezpieczenia
różnych strat
finansowych","Ubezpieczenia
zdrowotne","Pozostałe
ubezpieczenia
osobowe","Ubezpieczenia
morskie, lotnicze i
transportowe /
Marine, aviation,
transport","Ubezpieczenia
majątkowe",
,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,0,305 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305 116
Brutto – reasekuracja czynna proporcjonalna,R0120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutto – reasekuracja czynna nieproporcjonalna,R0130,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Udział zakładu reasekuracji,R0140,0,7 803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 803
Netto,R0200,0,297 314,0,0,0,0,0,0,0,0,0,0,3,0,0,0,297 316
Składki zarobione,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,0,305 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305 116
Brutto – reasekuracja czynna proporcjonalna,R0220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutto – reasekuracja czynna nieproporcjonalna,R0230,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Udział zakładu reasekuracji,R0240,0,7 803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 803
Netto,R0300,0,297 314,0,0,0,0,0,0,0,0,0,0,3,0,0,0,297 316
Odszkodowania i świadczenia,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,0,102 734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102 734
Brutto – reasekuracja czynna proporcjonalna,R0320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutto – reasekuracja czynna nieproporcjonalna,R0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udział zakładu reasekuracji,R0340,0,4 496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 496
Netto,R0400,0,98 238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98 238
Zmiana stanu pozostałych rezerw techniczno-ubezpieczeniowych,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,0,-926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-926
Brutto – reasekuracja czynna proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutto – reasekuracja czynna nieproporcjonalna,R0430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udział zakładu reasekuracji,R0440,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19
Netto,R0500,0,-908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-908
Koszty poniesione,R0550,0,95 279,0,0,0,0,0,0,0,0,0,0,2,0,0,0,95 280
Pozostałe koszty,R1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 962
Koszty ogółem,R1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98 242
,,"Ubezpieczenia
pokrycia kosztów
świadczeń
medycznych","Ubezpieczenia na
wypadek utraty
dochodów","Ubezpieczenia
pracownicze","Ubezpieczenia
odpowiedzialności
cywilnej z tytułu
użytkowania
pojazdów
mechanicznych","Pozostałe
ubezpieczenia
pojazdów","Ubezpieczenia
morskie, lotnicze i
transportowe","Ubezpieczenia od
ognia i innych
szkód rzeczowych","Ubezpieczenia
odpowiedzialności
cywilnej ogólnej","Ubezpieczenia
kredytów i
poręczeń","Ubezpieczenia
kosztów ochrony
prawnej","Ubezpieczenia
świadczenia
pomocy","Ubezpieczenia
różnych strat
finansowych","Ubezpieczenia
zdrowotne","Pozostałe
ubezpieczenia
osobowe","Ubezpieczenia
morskie, lotnicze i
transportowe","Ubezpieczenia
majątkowe",
,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0110,0,305 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305 116
Brutto – reasekuracja czynna proporcjonalna,R0120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutto – reasekuracja czynna nieproporcjonalna,R0130,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Udział zakładu reasekuracji,R0140,0,7 803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 803
Netto,R0200,0,297 314,0,0,0,0,0,0,0,0,0,0,3,0,0,0,297 316
Składki zarobione,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0210,0,305 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305 116
Brutto – reasekuracja czynna proporcjonalna,R0220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutto – reasekuracja czynna nieproporcjonalna,R0230,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Udział zakładu reasekuracji,R0240,0,7 803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 803
Netto,R0300,0,297 314,0,0,0,0,0,0,0,0,0,0,3,0,0,0,297 316
Odszkodowania i świadczenia,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0310,0,102 734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102 734
Brutto – reasekuracja czynna proporcjonalna,R0320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutto – reasekuracja czynna nieproporcjonalna,R0330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udział zakładu reasekuracji,R0340,0,4 496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 496
Netto,R0400,0,98 238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98 238
Zmiana stanu pozostałych rezerw techniczno-ubezpieczeniowych,,,,,,,,,,,,,,,,,,
Brutto – Bezpośrednia działalność ubezpieczeniowa,R0410,0,-926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-926
Brutto – reasekuracja czynna proporcjonalna,R0420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutto – reasekuracja czynna nieproporcjonalna,R0430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Udział zakładu reasekuracji,R0440,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19
Netto,R0500,0,-908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-908
Koszty poniesione,R0550,0,95 279,0,0,0,0,0,0,0,0,0,0,2,0,0,0,95 280
Pozostałe koszty,R1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 962
Koszty ogółem,R1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98 242
,,"Ubezpieczenia
pokrycia kosztów
świadczeń
medycznych","Ubezpieczenia na
wypadek utraty
dochodów","Ubezpieczenia
pracownicze","Ubezpieczenia
odpowiedzialności cywilnej z
tytułu użytkowania pojazdów
mechanicznych","Pozostałe
ubezpieczenia
pojazdów","Ubezpieczenia
morskie, lotnicze i
transportowe","Ubezpieczenia od
ognia i innych szkód
rzeczowych","Ubezpieczenia
odpowiedzialności
cywilnej ogólnej","Ubezpieczenia
kredytów i
poręczeń","Ubezpieczenia
kosztów ochrony
prawnej","Ubezpieczenia
świadczenia
pomocy","Ubezpieczenia
różnych strat
finansowych","Ubezpieczenia
zdrowotne","Pozostałe
ubezpieczenia
osobowe","Ubezpieczenia
morskie, lotnicze i
transportowe","Ubezpieczenia
majątkowe",
,,C0010,C0020,C0030,C0040,C0050,C0060,C0070,C0080,C0090,C0100,C0110,C0120,C0130,C0140,C0150,C0160,C0200
