Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
Dodatkowe wkłady od członków – inne niż zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0370,0,,,0,0
Pozostałe uzupełniające środki własne,R0390,0,,,0,0
Uzupełniające środki własne ogółem,R0400,0,,,0,0
Dostępne i dopuszczone środki własne,,,,,,
Kwota dostępnych środków własnych na pokrycie kapitałowego wymogu wypłacalności (SCR),R0500,4 408 948,4 408 948,0,0,0
Kwota dostępnych środków własnych na pokrycie MCR,R0510,4 408 948,4 408 948,0,0,
Kwota dopuszczonych środków własnych na pokrycie SCR,R0540,4 408 948,4 408 948,0,0,0
Kwota dopuszczonych środków własnych na pokrycie MCR,R0550,4 408 948,4 408 948,0,0,
SCR,R0580,1 919 962,,,,
MCR,R0600,479 991,,,,
Wskaźnik dopuszczonych środków własnych do SCR,R0620,"229,64%",,,,
Wskaźnik dopuszczonych środków własnych do MCR,R0640,"918,55%",,,,
"Rezerwa uzgodnieniowa C0060
Nadwyżka aktywów nad zobowiązaniami R0700 5 125 437
Akcje własne (posiadane bezpośrednio i pośrednio) R0710 0
Przewidywane dywidendy, wypłaty i obciążenia R0720 716 490
Pozostałe pozycje podstawowych środków własnych R0730 87 268
Korekta ze względu na wydzielone pozycje środków własnych w ramach portfeli objętych korektą dopasowującą i R0740 0
funduszy wyodrębnionych
Rezerwa uzgodnieniowa R0760 4 321 680
Oczekiwane zyski
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń na życie R0770 2 593 407
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń innych niż ubezpieczenia na życie R0780 29 221
Oczekiwane zyski z przyszłych składek - Ogółem R0790 2 622 627",,,,,,
,,C0060,,,,
Nadwyżka aktywów nad zobowiązaniami,R0700,5 125 437,,,,
Akcje własne (posiadane bezpośrednio i pośrednio),R0710,0,,,,
"Przewidywane dywidendy, wypłaty i obciążenia",R0720,716 490,,,,
Pozostałe pozycje podstawowych środków własnych,R0730,87 268,,,,
"Korekta ze względu na wydzielone pozycje środków własnych w ramach portfeli objętych korektą dopasowującą i
funduszy wyodrębnionych",R0740,0,,,,
Rezerwa uzgodnieniowa,R0760,4 321 680,,,,
Oczekiwane zyski,,,,,,
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń na życie,R0770,2 593 407,,,,
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń innych niż ubezpieczenia na życie,R0780,29 221,,,,
Oczekiwane zyski z przyszłych składek - Ogółem,R0790,2 622 627,,,,
,,Ogółem,"Kategoria 1 -
nieograniczona","Kategoria 1 -
ograniczona",Kategoria 2,Kategoria 3
,,C0010,C0020,C0030,C0040,C0050
Kapitał zakładowy (wraz z akcjami własnymi),R0010,118 631,118 631,,0,
Nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z kapitałem zakładowym,R0030,69 735,69 735,,0,
"Kapitał założycielski, wkłady/składki członkowskie lub równoważna pozycja podstawowych środków własnych w
przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń
opartych na zasadzie wzajemności",R0040,0,0,,0,
"Podporządkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw
reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na zasadzie wzajemności",R0050,0,,0,0,0
Fundusze nadwyżkowe,R0070,0,0,,,
Akcje uprzywilejowane,R0090,0,,0,0,0
Nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z akcjami uprzywilejowanymi,R0110,0,,0,0,0
Rezerwa uzgodnieniowa,R0130,476 486,476 486,,,
Zobowiązania podporządkowane,R0140,0,,0,0,0
Kwota odpowiadająca wartości aktywów netto z tytułu odroczonego podatku dochodowego,R0160,0,,,,0
"Pozostałe pozycje środków własnych zatwierdzone przez organ nadzoru jako podstawowe środki własne, niewymienione
powyżej",R0180,0,0,0,0,0
"Środki własne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie spełniają
kryteriów klasyfikacji jako środki własne wg Wypłacalność II",,,,,,
"Środki własne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie spełniają
kryteriów klasyfikacji jako środki własne wg Wypłacalność II",R0220,0,,,,
Odliczenia,,,,,,
Wartość odliczeń z tytułu udziałów kapitałowych w instytucjach finansowych i kredytowych - ogółem,R0230,0,0,0,0,
Podstawowe środki własne ogółem po odliczeniach,R0290,664 852,664 852,0,0,0
Uzupełniające środki własne,,,,,,
"NNieieooppłałaccoonnyy kkaappititaał ł zzaałokżłaydcoiewlsyk, i,d wo kkłtaódrye/gsok łaodpkłai cceznłoian knoiew wskeizew luabn oró iw kntóorwy amżonżae p boyzćy cwjae zpwoadnsyta dwoo owpyłcahc eśnroiad knóaw ż ąwdłaansnieych",R0300,0,,,0,
"w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń",R0310,0,,,0,
"Nieopłacone akcje uprzywilejowane, do których opłacenia nie wezwano i które mogą być wezwane do opłacenia na
żądanie",R0320,0,,,0,0
Prawnie wiążące zobowiązanie do subskrypcji i opłacenia na żądanie zobowiązań podporządkowanych,R0330,0,,,0,0
Akredytywy i gwarancje zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0340,0,,,0,
Akredytywy i gwarancje inne niż zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0350,0,,,0,0
Dodatkowe wkłady od członków zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0360,0,,,0,
Dodatkowe wkłady od członków – inne niż zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0370,0,,,0,0
Pozostałe uzupełniające środki własne,R0390,0,,,0,0
Uzupełniające środki własne ogółem,R0400,0,,,0,0
Dostępne i dopuszczone środki własne,,,,,,
Kwota dostępnych środków własnych na pokrycie kapitałowego wymogu wypłacalności (SCR),R0500,664 852,664 852,0,0,0
Kwota dostępnych środków własnych na pokrycie MCR,R0510,664 852,664 852,0,0,
Kwota dopuszczonych środków własnych na pokrycie SCR,R0540,664 852,664 852,0,0,0
Kwota dopuszczonych środków własnych na pokrycie MCR,R0550,664 852,664 852,0,0,
SCR,R0580,208 549,,,,
MCR,R0600,58 924,,,,
Wskaźnik dopuszczonych środków własnych do SCR,R0620,"318,80%",,,,
Wskaźnik dopuszczonych środków własnych do MCR,R0640,"1 128,31%",,,,
"Rezerwa uzgodnieniowa C0060
Nadwyżka aktywów nad zobowiązaniami R0700 756 710
Akcje własne (posiadane bezpośrednio i pośrednio) R0710 0
Przewidywane dywidendy, wypłaty i obciążenia R0720 91 857
Pozostałe pozycje podstawowych środków własnych R0730 188 366
Korekta ze względu na wydzielone pozycje środków własnych w ramach portfeli objętych korektą dopasowującą i R0740 0
funduszy wyodrębnionych
Rezerwa uzgodnieniowa R0760 476 486
Oczekiwane zyski
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń na życie R0770 256 274
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń innych niż ubezpieczenia na życie R0780 0
Oczekiwane zyski z przyszłych składek - Ogółem R0790 256 274",,,,,,
,,C0060,,,,
Nadwyżka aktywów nad zobowiązaniami,R0700,756 710,,,,
Akcje własne (posiadane bezpośrednio i pośrednio),R0710,0,,,,
"Przewidywane dywidendy, wypłaty i obciążenia",R0720,91 857,,,,
Pozostałe pozycje podstawowych środków własnych,R0730,188 366,,,,
"Korekta ze względu na wydzielone pozycje środków własnych w ramach portfeli objętych korektą dopasowującą i
funduszy wyodrębnionych",R0740,0,,,,
Rezerwa uzgodnieniowa,R0760,476 486,,,,
Oczekiwane zyski,,,,,,
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń na życie,R0770,256 274,,,,
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń innych niż ubezpieczenia na życie,R0780,0,,,,
Oczekiwane zyski z przyszłych składek - Ogółem,R0790,256 274,,,,
,,Ogółem,"Kategoria 1 -
nieograniczona","Kategoria 1 -
ograniczona",Kategoria 2,Kategoria 3
,,C0010,C0020,C0030,C0040,C0050
Kapitał zakładowy (wraz z akcjami własnymi),R0010,74 288,74 288,,0,
Nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z kapitałem zakładowym,R0030,0,0,,0,
"Kapitał założycielski, wkłady/składki członkowskie lub równoważna pozycja podstawowych środków własnych w przypadku
towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na
zasadzie wzajemności",R0040,0,0,,0,
"Podporządkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw
reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na zasadzie wzajemności",R0050,0,,0,0,0
Fundusze nadwyżkowe,R0070,0,0,,,
Akcje uprzywilejowane,R0090,0,,0,0,0
Nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z akcjami uprzywilejowanymi,R0110,0,,0,0,0
Rezerwa uzgodnieniowa,R0130,4 094 221,4 094 221,,,
Zobowiązania podporządkowane,R0140,0,,0,0,0
Kwota odpowiadająca wartości aktywów netto z tytułu odroczonego podatku dochodowego,R0160,0,,,,0
"Pozostałe pozycje środków własnych zatwierdzone przez organ nadzoru jako podstawowe środki własne, niewymienione
Śproowdykżi ewjłasne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie spełniają",R0180,0,0,0,0,0
kryteriów klasyfikacji jako środki własne wg Wypłacalność II,,,,,,
"Środki własne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie spełniają
kryteriów klasyfikacji jako środki własne wg Wypłacalność II",R0220,0,,,,
Odliczenia,,,,,,
Wartość odliczeń z tytułu udziałów kapitałowych w instytucjach finansowych i kredytowych - ogółem,R0230,0,0,0,0,
Podstawowe środki własne ogółem po odliczeniach,R0290,4 168 509,4 168 509,0,0,0
Uzupełniające środki własne,,,,,,
"NNieieooppłałaccoonnyy kkaappitiatał ł zzaałokżłaydcoiewlsyk, id, ow kkłtaódreyg/sok łoapdłkaic ceznłioan nkioew wsekziew launbo r ió kwtónroyw mażonżae pboyzćy wcjeaz pwoadnsyt adwoo owpyłacche śnrioad nkaó wżą wdałansienych w",R0300,0,,,0,
"przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń",R0310,0,,,0,
"Nieopłacone akcje uprzywilejowane, do których opłacenia nie wezwano i które mogą być wezwane do opłacenia na żądanie",R0320,0,,,0,0
Prawnie wiążące zobowiązanie do subskrypcji i opłacenia na żądanie zobowiązań podporządkowanych,R0330,0,,,0,0
Akredytywy i gwarancje zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0340,0,,,0,
Akredytywy i gwarancje inne niż zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0350,0,,,0,0
Dodatkowe wkłady od członków zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0360,0,,,0,
Dodatkowe wkłady od członków – inne niż zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0370,0,,,0,0
Pozostałe uzupełniające środki własne,R0390,0,,,0,0
Uzupełniające środki własne ogółem,R0400,0,,,0,0
Dostępne i dopuszczone środki własne,,,,,,
Kwota dostępnych środków własnych na pokrycie kapitałowego wymogu wypłacalności (SCR),R0500,4 168 509,4 168 509,0,0,0
Kwota dostępnych środków własnych na pokrycie MCR,R0510,4 168 509,4 168 509,0,0,
Kwota dopuszczonych środków własnych na pokrycie SCR,R0540,4 168 509,4 168 509,0,0,0
Kwota dopuszczonych środków własnych na pokrycie MCR,R0550,4 168 509,4 168 509,0,0,
SCR,R0580,1 970 668,,,,
MCR,R0600,492 667,,,,
Wskaźnik dopuszczonych środków własnych do SCR,R0620,"211,53%",,,,
Wskaźnik dopuszczonych środków własnych do MCR,R0640,"846,11%",,,,
"Rezerwa uzgodnieniowa C0060
Nadwyżka aktywów nad zobowiązaniami R0700 4 784 819
Akcje własne (posiadane bezpośrednio i pośrednio) R0710 0
Przewidywane dywidendy, wypłaty i obciążenia R0720 616 311
Pozostałe pozycje podstawowych środków własnych R0730 74 288
Korekta ze względu na wydzielone pozycje środków własnych w ramach portfeli objętych korektą dopasowującą i funduszy R0740 0
wyodrębnionych
Rezerwa uzgodnieniowa R0760 4 094 221
Oczekiwane zyski
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń na życie R0770 2 755 138
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń innych niż ubezpieczenia na życie R0780 28 231
Oczekiwane zyski z przyszłych składek - Ogółem R0790 2 783 370",,,,,,
,,C0060,,,,
Nadwyżka aktywów nad zobowiązaniami,R0700,4 784 819,,,,
Akcje własne (posiadane bezpośrednio i pośrednio),R0710,0,,,,
"Przewidywane dywidendy, wypłaty i obciążenia",R0720,616 311,,,,
Pozostałe pozycje podstawowych środków własnych,R0730,74 288,,,,
"Korekta ze względu na wydzielone pozycje środków własnych w ramach portfeli objętych korektą dopasowującą i funduszy
wyodrębnionych",R0740,0,,,,
Rezerwa uzgodnieniowa,R0760,4 094 221,,,,
Oczekiwane zyski,,,,,,
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń na życie,R0770,2 755 138,,,,
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń innych niż ubezpieczenia na życie,R0780,28 231,,,,
Oczekiwane zyski z przyszłych składek - Ogółem,R0790,2 783 370,,,,
,,Ogółem,"Kategoria 1 -
nieograniczona","Kategoria 1 -
ograniczona",Kategoria 2,Kategoria 3
,,C0010,C0020,C0030,C0040,C0050
Kapitał zakładowy (wraz z akcjami własnymi),R0010,192 919,192 919,,0,
Nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z kapitałem zakładowym,R0030,69 735,69 735,,0,
"Kapitał założycielski, wkłady/składki członkowskie lub równoważna pozycja podstawowych środków własnych w przypadku
towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na
zasadzie wzajemności",R0040,0,0,,0,
"Podporządkowane fundusze udziałowe/członkowskie w przypadku towarzystw ubezpieczeń wzajemnych, towarzystw
reasekuracji wzajemnej i innych towarzystw ubezpieczeń opartych na zasadzie wzajemności",R0050,0,,0,0,0
Fundusze nadwyżkowe,R0070,0,0,,,
Akcje uprzywilejowane,R0090,0,,0,0,0
Nadwyżka ze sprzedaży akcji powyżej ich wartości nominalnej związana z akcjami uprzywilejowanymi,R0110,0,,0,0,0
Rezerwa uzgodnieniowa,R0130,4 574 076,4 574 076,,,
Zobowiązania podporządkowane,R0140,0,,0,0,0
Kwota odpowiadająca wartości aktywów netto z tytułu odroczonego podatku dochodowego,R0160,0,,,,0
"Pozostałe pozycje środków własnych zatwierdzone przez organ nadzoru jako podstawowe środki własne, niewymienione
powyżej",R0180,0,0,0,0,0
"Środki własne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie spełniają
kryteriów klasyfikacji jako środki własne wg Wypłacalność II",,,,,,
"Środki własne ze sprawozdań finansowych, które nie powinny być uwzględnione w rezerwie uzgodnieniowej i nie spełniają
kryteriów klasyfikacji jako środki własne wg Wypłacalność II",R0220,0,,,,
Odliczenia,,,,,,
Wartość odliczeń z tytułu udziałów kapitałowych w instytucjach finansowych i kredytowych - ogółem,R0230,0,0,0,0,
Podstawowe środki własne ogółem po odliczeniach,R0290,4 836 730,4 836 730,0,0,0
Uzupełniające środki własne,,,,,,
"Nieopłacony kapitał zakładowy, do którego opłacenia nie wezwano i który może być wezwany do opłacenia na żądanie",R0300,0,,,0,
"Nieopłacony kapitał założycielski, wkłady/składki członkowskie lub równoważna pozycja podstawowych środków własnych w
przypadku towarzystw ubezpieczeń wzajemnych, towarzystw reasekuracji wzajemnej i innych towarzystw ubezpieczeń
opartych na zasadzie wzajemności, do których opłacenia nie wezwano i które mogą być wezwane do opłacenia na żądanie",R0310,0,,,0,
"Nieopłacone akcje uprzywilejowane, do których opłacenia nie wezwano i które mogą być wezwane do opłacenia na żądanie",R0320,0,,,0,0
Prawnie wiążące zobowiązanie do subskrypcji i opłacenia na żądanie zobowiązań podporządkowanych,R0330,0,,,0,0
Akredytywy i gwarancje zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0340,0,,,0,
Akredytywy i gwarancje inne niż zgodne z art. 96 pkt 2 dyrektywy 2009/138/WE,R0350,0,,,0,0
Dodatkowe wkłady od członków zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0360,0,,,0,
Dodatkowe wkłady od członków – inne niż zgodnie z art. 96 ust. 3 akapit pierwszy dyrektywy 2009/138/WE,R0370,0,,,0,0
Pozostałe uzupełniające środki własne,R0390,0,,,0,0
Uzupełniające środki własne ogółem,R0400,0,,,0,0
Dostępne i dopuszczone środki własne,,,,,,
Kwota dostępnych środków własnych na pokrycie kapitałowego wymogu wypłacalności (SCR),R0500,4 836 730,4 836 730,0,0,0
Kwota dostępnych środków własnych na pokrycie MCR,R0510,4 836 730,4 836 730,0,0,
Kwota dopuszczonych środków własnych na pokrycie SCR,R0540,4 836 730,4 836 730,0,0,0
Kwota dopuszczonych środków własnych na pokrycie MCR,R0550,4 836 730,4 836 730,0,0,
SCR,R0580,2 165 807,,,,
MCR,R0600,541 452,,,,
Wskaźnik dopuszczonych środków własnych do SCR,R0620,"223,32%",,,,
Wskaźnik dopuszczonych środków własnych do MCR,R0640,"893,29%",,,,
"Rezerwa uzgodnieniowa C0060
Nadwyżka aktywów nad zobowiązaniami R0700 5 544 898
Akcje własne (posiadane bezpośrednio i pośrednio) R0710 0
Przewidywane dywidendy, wypłaty i obciążenia R0720 708 168
Pozostałe pozycje podstawowych środków własnych R0730 262 654
Korekta ze względu na wydzielone pozycje środków własnych w ramach portfeli objętych korektą dopasowującą i funduszy R0740 0
wyodrębnionych
Rezerwa uzgodnieniowa R0760 4 574 076
Oczekiwane zyski
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń na życie R0770 2 755 138
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń innych niż ubezpieczenia na życie R0780 28 231
Oczekiwane zyski z przyszłych składek - Ogółem R0790 3 039 644",,,,,,
,,C0060,,,,
Nadwyżka aktywów nad zobowiązaniami,R0700,5 544 898,,,,
Akcje własne (posiadane bezpośrednio i pośrednio),R0710,0,,,,
"Przewidywane dywidendy, wypłaty i obciążenia",R0720,708 168,,,,
Pozostałe pozycje podstawowych środków własnych,R0730,262 654,,,,
"Korekta ze względu na wydzielone pozycje środków własnych w ramach portfeli objętych korektą dopasowującą i funduszy
wyodrębnionych",R0740,0,,,,
Rezerwa uzgodnieniowa,R0760,4 574 076,,,,
Oczekiwane zyski,,,,,,
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń na życie,R0770,2 755 138,,,,
Oczekiwane zyski z przyszłych składek – Działalność w zakresie ubezpieczeń innych niż ubezpieczenia na życie,R0780,28 231,,,,
Oczekiwane zyski z przyszłych składek - Ogółem,R0790,3 039 644,,,,
