Column_0,Column_1,Column_2
Zobowiązania wobec instytucji kredytowych,R0800,0
Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,5 123
Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,R0820,7 500
Zobowiązania z tytułu reasekuracji biernej,R0830,0
"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",R0840,4 412
Zobowiązania podporządkowane,R0850,0
Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,R0860,0
Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,R0870,0
Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,0
Zobowiązania ogółem,R0900,1 857 004
Nadwyżka aktywów nad zobowiązaniami,R1000,756 710
,,"Wartość bilansowa wg
Wypłacalność II"
,,C0010
Aktywa,,
Wartość firmy,R0010,0
Aktywowane koszty akwizycji,R0020,0
Wartości niematerialne i prawne,R0030,0
Aktywa z tytułu odroczonego podatku dochodowego,R0040,0
Nadwyżka na funduszu świadczeń emerytalnych,R0050,0
"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,4 874
"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub
inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",R0070,5 525 059
Nieruchomości (inne niż do użytku własnego),R0080,0
"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",R0090,1 025 827
Akcje i udziały,R0100,0
Akcje i udziały – notowane,R0110,0
Akcje i udziały – nienotowane,R0120,0
Dłużne papiery wartościowe,R0130,3 509 267
Obligacje państwowe,R0140,3 254 736
Obligacje korporacyjne,R0150,254 531
Strukturyzowane papiery wartościowe,R0160,0
Zabezpieczone papiery wartościowe,R0170,0
Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,R0180,973 625
Instrumenty pochodne,R0190,8 133
Depozyty inne niż ekwiwalenty środków pieniężnych,R0200,8 207
Pozostałe lokaty,R0210,0
"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości
bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0220,10 112 130
Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,131 397
Pożyczki pod zastaw polisy,R0240,0
Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,0
Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,131 397
Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,R0270,-27 118
"Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż
ubezpieczenia na życie",R0280,1 719
Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0290,0
Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,1 719
"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń
zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",R0310,-21 328
Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,R0320,-17 191
"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane
w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0330,-4 137
"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i
ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",R0340,-7 509
Depozyty u cedentów,R0350,0
Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,R0360,32 178
Należności z tytułu reasekuracji biernej,R0370,3 258
"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",R0380,59 357
Akcje własne (posiadane bezpośrednio),R0390,0
"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale
które nie zostały jeszcze opłacone",R0400,0
Środki pieniężne i ekwiwalenty środków pieniężnych,R0410,54 282
Pozostałe aktywa (niewykazane w innych pozycjach),R0420,799
Aktywa ogółem,R0500,15 896 215
Zobowiązania,,
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,67 440
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,0
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0530,0
Najlepsze oszacowanie,R0540,0
Margines ryzyka,R0550,0
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia
na życie)",R0560,67 440
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0570,0
Najlepsze oszacowanie,R0580,62 054
Margines ryzyka,R0590,5 385
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest
ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem
kapitałowym)",R0600,1 495 002
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,-892 816
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0620,0
Najlepsze oszacowanie,R0630,-1 102 148
Margines ryzyka,R0640,209 332
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w
których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z
ubezpieczeniowym funduszem kapitałowym)",R0650,2 387 818
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0660,0
Najlepsze oszacowanie,R0670,2 196 421
Margines ryzyka,R0680,191 397
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone
indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",R0690,8 079 333
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0700,0
Najlepsze oszacowanie,R0710,7 623 604
Margines ryzyka,R0720,455 729
Pozostałe rezerwy techniczno-ubezpieczeniowe,R0730,0
Zobowiązania warunkowe,R0740,13 119
Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),R0750,101 422
Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,R0760,1 319
Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
Rezerwy z tytułu odroczonego podatku dochodowego,R0780,1 145 745
Instrumenty pochodne,R0790,18 400
Zobowiązania wobec instytucji kredytowych,R0800,0
Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,8 376
Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,R0820,69 449
Zobowiązania z tytułu reasekuracji biernej,R0830,7 481
"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",R0840,81 321
Zobowiązania podporządkowane,R0850,0
Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,R0860,0
Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,R0870,0
Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,22 992
Zobowiązania ogółem,R0900,11 111 396
Nadwyżka aktywów nad zobowiązaniami,R1000,4 784 819
Wartość firmy,R0010,0
Aktywowane koszty akwizycji,R0020,0
Wartości niematerialne i prawne,R0030,0
Aktywa z tytułu odroczonego podatku dochodowego,R0040,0
Nadwyżka na funduszu świadczeń emerytalnych,R0050,0
"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",R0060,11 854
"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub
inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",R0070,6 413 620
Nieruchomości (inne niż do użytku własnego),R0080,0
"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",R0090,1 025 827
Akcje i udziały,R0100,0
Akcje i udziały – notowane,R0110,0
Akcje i udziały – nienotowane,R0120,0
Dłużne papiery wartościowe,R0130,4 249 151
Obligacje państwowe,R0140,3 991 832
Obligacje korporacyjne,R0150,254 531
Strukturyzowane papiery wartościowe,R0160,2 789
Zabezpieczone papiery wartościowe,R0170,0
Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,R0180,1 090 375
Instrumenty pochodne,R0190,10 203
Depozyty inne niż ekwiwalenty środków pieniężnych,R0200,38 065
Pozostałe lokaty,R0210,0
"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości
bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0220,11 803 020
Pożyczki i pożyczki zabezpieczone hipotecznie,R0230,131 397
Pożyczki pod zastaw polisy,R0240,0
Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,R0250,0
Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,R0260,131 397
Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,R0270,-35 222
"Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż
ubezpieczenia na życie",R0280,1 719
Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0290,0
Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,1 719
"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń
zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",R0310,-27 875
Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,R0320,-17 191
"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane
w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0330,-10 684
"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i
ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",R0340,-9 066
Depozyty u cedentów,R0350,0
Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,R0360,38 705
Należności z tytułu reasekuracji biernej,R0370,3 258
"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",R0380,79 561
Akcje własne (posiadane bezpośrednio),R0390,0
"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale
które nie zostały jeszcze opłacone",R0400,0
Środki pieniężne i ekwiwalenty środków pieniężnych,R0410,59 956
Pozostałe aktywa (niewykazane w innych pozycjach),R0420,3 780
Aktywa ogółem,R0500,18 509 929
Zobowiązania,,0
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,67 416
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,0
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0530,0
Najlepsze oszacowanie,R0540,0
Margines ryzyka,R0550,0
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia
na życie)",R0560,67 416
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0570,0
Najlepsze oszacowanie,R0580,62 054
Margines ryzyka,R0590,5 361
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest
ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem
kapitałowym)",R0600,1 615 998
Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,-893 747
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0620,0
Najlepsze oszacowanie,R0630,-1 102 148
Margines ryzyka,R0640,208 401
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w
których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z
ubezpieczeniowym funduszem kapitałowym)",R0650,2 509 745
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0660,0
Najlepsze oszacowanie,R0670,2 280 617
Margines ryzyka,R0680,229 128
"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone
indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",R0690,9 672 596
Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,R0700,0
Najlepsze oszacowanie,R0710,9 184 088
Margines ryzyka,R0720,488 508
Pozostałe rezerwy techniczno-ubezpieczeniowe,R0730,0
Zobowiązania warunkowe,R0740,13 119
Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),R0750,116 135
Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,R0760,8 285
Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
Rezerwy z tytułu odroczonego podatku dochodowego,R0780,1 246 428
Instrumenty pochodne,R0790,18 400
Zobowiązania wobec instytucji kredytowych,R0800,0
Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,13 499
Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,R0820,76 949
Zobowiązania z tytułu reasekuracji biernej,R0830,7 481
"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",R0840,85 734
Zobowiązania podporządkowane,R0850,0
Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,R0860,0
Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,R0870,0
Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,22 992
Zobowiązania ogółem,R0900,12 965 031
Nadwyżka aktywów nad zobowiązaniami,R1000,5 544 898
,,C0010
